score,comment,user_id,timestamp,segment
3,"The app crashes when exporting data. Very frustrating. Lost a deal because of this. Export feature is broken.","user_001","2024-01-20T10:00:00Z","detractor"
2,"Export feature broken. This is critical for us. CSV export crashes every time. Can't do our monthly reports.","user_002","2024-01-25T14:00:00Z","detractor"
1,"Export crashes constantly. Lost to CompetitorX because of this. Deal breaker.","user_003","2024-01-30T09:00:00Z","detractor"
7,"Good product but mobile app needs dark mode. Using it at night hurts my eyes. Please add dark mode.","user_004","2024-02-10T09:00:00Z","passive"
6,"Mobile app navigation is confusing. Can't find features I need. Navigation needs improvement.","user_005","2024-02-22T16:00:00Z","passive"
7,"Mobile dark mode would be great. Using it at night is painful.","user_006","2024-02-28T11:00:00Z","passive"
2,"Dashboard is too slow. Takes forever to load. Takes 15+ seconds sometimes. Considering switching.","user_007","2024-03-12T11:00:00Z","detractor"
3,"Dashboard performance is terrible. Too slow when working with large datasets. This is unacceptable.","user_008","2024-03-28T13:00:00Z","detractor"
1,"Performance is deal breaker. Lost to CompetitorY because of speed. Unacceptable.","user_009","2024-03-30T15:00:00Z","detractor"
6,"Would love Slack integration. That would be perfect. Real-time notifications would save us time.","user_010","2024-04-15T10:00:00Z","passive"
7,"Slack notifications would be great. Would make our workflow much better. Please add this feature.","user_011","2024-04-30T15:00:00Z","passive"
8,"Slack integration would save us hours. This is important for our team.","user_012","2024-05-05T09:00:00Z","promoter"
5,"Onboarding was confusing. Took too long to get started. Process needs simplification.","user_013","2024-05-12T08:00:00Z","passive"
4,"Onboarding process too complex. New team members struggle. Needs to be more intuitive.","user_014","2024-05-25T12:00:00Z","detractor"
3,"Onboarding took 4 hours. Almost gave up. Too complex.","user_015","2024-06-02T14:00:00Z","detractor"
4,"API docs are outdated. Hard to build integrations. Documentation doesn't match current API.","user_016","2024-06-10T09:00:00Z","detractor"
5,"API documentation needs update. Can't build integrations when docs are wrong. Please fix this.","user_017","2024-06-22T14:00:00Z","passive"
2,"API docs are completely wrong. Lost deal to CompetitorZ. This is blocking us.","user_018","2024-06-28T10:00:00Z","detractor"
7,"UI could be more intuitive but overall good. Interface is a bit cluttered but functional.","user_019","2025-07-15T11:00:00Z","passive"
9,"Love the product! The new dashboard feature is amazing. Keep up the great work!","user_020","2025-07-30T16:00:00Z","promoter"
4,"Export issues persist in July. This is blocking our Q3 reporting.","user_035","2025-07-08T10:00:00Z","detractor"
5,"Performance concerns in July. Dashboard slower than before.","user_036","2025-07-22T14:00:00Z","passive"
3,"AI features needed in July. CompetitorX has this and we're evaluating them.","user_040","2025-07-12T11:00:00Z","detractor"
4,"Analytics improvements needed in July. CompetitorY has better reporting.","user_041","2025-07-18T14:00:00Z","detractor"
8,"Great experience overall. Minor UI tweaks would help but we're happy.","user_021","2025-08-15T10:30:00Z","promoter"
3,"AI automation is missing. CompetitorX has this and we're considering switching. This is a must-have.","user_022","2025-08-30T14:00:00Z","detractor"
6,"Mobile app issues in August. Multiple crashes reported.","user_037","2025-08-08T11:00:00Z","passive"
4,"Integration needs in August. CompetitorY has better options.","user_038","2025-08-25T09:00:00Z","detractor"
2,"AI features are critical. CompetitorX has this. We're considering switching.","user_023","2025-09-08T09:00:00Z","detractor"
4,"Advanced analytics needed. CompetitorY has better reporting. This would make a huge difference.","user_024","2025-09-20T09:00:00Z","detractor"
3,"Analytics are too basic. CompetitorY has much better reporting. This is blocking enterprise.","user_025","2025-09-25T11:00:00Z","detractor"
5,"Security features needed in Q3. SOC 2 compliance important.","user_039","2025-09-12T10:00:00Z","passive"
2,"AI automation is deal breaker. CompetitorX has this. We're switching.","user_042","2025-09-12T09:00:00Z","detractor"
3,"Advanced analytics critical. CompetitorY has much better reporting.","user_043","2025-09-18T10:00:00Z","detractor"
4,"Reporting improvements needed. CompetitorZ has better capabilities.","user_044","2025-09-25T15:00:00Z","detractor"
6,"Multi-language support would help our international team. Currently limiting our growth.","user_026","2025-10-22T11:00:00Z","passive"
7,"Localization would be great for our global team. This is important for expansion.","user_027","2025-10-28T13:00:00Z","passive"
5,"Real-time collaboration is needed. Multiple users should be able to work together.","user_028","2025-11-10T13:00:00Z","passive"
4,"Collaboration features are deal breaker. CompetitorZ has this. We're evaluating them.","user_029","2025-11-15T15:00:00Z","detractor"
4,"Custom workflows would be great. Our processes are unique and we need flexibility.","user_030","2025-11-25T10:00:00Z","detractor"
3,"Data backup concerns. Lost data last month. Need better backup options.","user_031","2025-12-15T15:00:00Z","detractor"
2,"Data backup is unreliable. Lost critical data. This is a major concern.","user_032","2025-12-18T10:00:00Z","detractor"
2,"SSO integration is missing. This is critical for our enterprise. CompetitorX has this.","user_033","2025-12-30T09:00:00Z","detractor"
1,"SSO is mandatory. Lost deal to CompetitorX because of this. Deal breaker.","user_034","2025-12-30T16:00:00Z","detractor"
