ticket_id,subject,description,customer_id,created_at,status,priority
ZD-001,"CSV Export Crashes App","The CSV export button crashes the application when I try to export data. This happens every time I click export. We need this for our monthly reporting. Very frustrating.","acc_001","2024-01-15T10:30:00Z","open","critical"
ZD-002,"Data Export Not Working","Export feature fails for large datasets. Error message says 'Memory limit exceeded' when trying to export over 10,000 rows. This is blocking our analytics team.","acc_003","2024-01-20T14:20:00Z","open","high"
ZD-003,"Export Feature Broken","CSV export crashes every time. Lost a deal because of this. CompetitorX has reliable export. This is a deal breaker.","acc_005","2024-01-28T09:15:00Z","open","critical"
ZD-004,"Mobile App Dark Mode Missing","The mobile app needs dark mode. Our team uses it daily and the bright screen is hard on the eyes, especially at night. Please add dark mode support.","acc_002","2024-02-05T09:15:00Z","open","medium"
ZD-005,"Mobile App Navigation Confusing","Mobile app navigation is confusing. Can't find features I know exist. The menu structure needs improvement. Our team uses mobile daily.","acc_004","2024-02-18T16:45:00Z","open","medium"
ZD-006,"Mobile Dark Mode Request","Please add dark mode to mobile app. Using it at night hurts my eyes. This is important for our remote team.","acc_006","2024-02-25T11:30:00Z","open","medium"
ZD-007,"Dashboard Loading Too Slow","Dashboard takes 15-20 seconds to load. This is unacceptable for our team of 50 users. Performance needs major improvement.","acc_005","2024-03-10T11:30:00Z","open","high"
ZD-008,"Dashboard Performance Issues","The dashboard is too slow when working with large datasets. Takes forever to load charts and reports. This is affecting productivity.","acc_006","2024-03-25T13:20:00Z","open","high"
ZD-009,"Performance Problems","Dashboard performance is terrible. Lost to CompetitorY because of speed issues. We need faster loading times.","acc_007","2024-03-28T14:00:00Z","open","critical"
ZD-010,"Slack Integration Request","We need Slack integration to notify our team when new data arrives. This would save us hours of manual checking. Please prioritize this.","acc_007","2024-04-12T10:00:00Z","open","medium"
ZD-011,"Slack Notifications Needed","Would love Slack integration for real-time notifications. This would make our workflow much better and save time.","acc_008","2024-04-28T15:30:00Z","open","low"
ZD-012,"Slack Integration Critical","Slack integration is a must-have. Our team relies on Slack for all communications. Without this, we can't efficiently use the product.","acc_009","2024-05-05T09:00:00Z","open","high"
ZD-013,"Onboarding Process Too Complex","New users struggle with setup. Took 3 hours to get started. The onboarding process needs simplification. Too many steps.","acc_010","2024-05-08T08:45:00Z","open","medium"
