account_id,deal_value,rep_notes,lost_reason,stage,created_at,arr
acc_001,50000,"Customer needs reliable CSV export functionality. Currently evaluating CompetitorX who has this feature working. Export crashes are blocking the deal.","Missing reliable export","closed-lost","2024-01-20T10:00:00Z",50000
acc_003,75000,"High interest but needs data export for analytics team. Export fails for large datasets. No deal blocker yet but concern.","None - still active","proposal","2024-01-25T14:00:00Z",75000
acc_005,120000,"Export feature crashes are deal breaker. Lost to CompetitorX because they have reliable export. This is critical for enterprise.","Export issues","closed-lost","2024-01-30T09:00:00Z",120000
acc_002,25000,"Mobile app needs dark mode. Team uses mobile daily and bright screen is an issue. Dark mode requested.","None - still active","proposal","2024-02-08T09:00:00Z",25000
acc_004,30000,"Mobile app navigation confusing. Team uses mobile daily and can't find features. Navigation needs improvement.","None - still active","discovery","2024-02-20T16:00:00Z",30000
acc_006,15000,"Mobile dark mode is important. Team uses mobile at night and bright screen is problematic.","None - still active","demo","2024-02-28T11:00:00Z",15000
acc_005,100000,"Performance concerns raised. Dashboard too slow - takes 15+ seconds to load. Lost 2 deals this month due to speed issues.","Performance issues","closed-lost","2024-03-15T11:00:00Z",100000
acc_006,85000,"Dashboard performance issues. Too slow when working with large datasets. This is affecting their productivity.","Performance issues","negotiation","2024-03-28T13:00:00Z",85000
acc_007,150000,"Performance is deal breaker. Lost to CompetitorY because of speed. Dashboard takes 20+ seconds to load.","Performance issues","closed-lost","2024-03-30T15:00:00Z",150000
acc_007,30000,"Wants Slack integration. Would make workflow much better. Not a blocker but nice to have.","None - still active","discovery","2024-04-15T10:00:00Z",30000
acc_008,20000,"Slack notifications would be great. Real-time notifications would save time. Not critical but requested.","None - still active","demo","2024-04-30T15:00:00Z",20000
acc_009,45000,"Slack integration is important. Team relies on Slack for all communications. Would improve adoption.","None - still active","proposal","2024-05-08T10:00:00Z",45000
acc_010,12000,"Onboarding took too long. 3 hours to set up. Concerned about team adoption. Process too complex.","Complex onboarding","discovery","2024-05-10T08:00:00Z",12000
acc_011,18000,"Onboarding confusing. New team members struggle. Needs to be more intuitive and simplified.","Complex onboarding","demo","2024-05-25T12:00:00Z",18000
acc_012,25000,"Onboarding is too complex. Took 4 hours. Almost gave up. This is affecting new user adoption.","Complex onboarding","discovery","2024-06-02T14:00:00Z",25000
acc_012,120000,"Enterprise customer needs updated API documentation. Current docs are outdated and blocking integrations. This is a must-have.","Outdated API docs","negotiation","2024-06-08T09:00:00Z",120000
