review_id,rating,review_text,user_name,date,version
AS-001,1,"App crashes when exporting CSV. This is broken. Very frustrating. Can't do my work.","FrustratedUser","2024-01-22T10:00:00Z","2.1.0"
AS-002,2,"Export feature doesn't work. Crashes every time. Need this fixed ASAP.","DataAnalyst","2024-01-28T14:00:00Z","2.1.0"
AS-003,1,"Export crashes constantly. Lost to CompetitorX because of this. Deal breaker.","EnterpriseUser","2024-01-30T09:00:00Z","2.1.0"
AS-004,3,"Good app but needs dark mode. Too bright at night. Please add dark mode support.","NightUser","2024-02-15T09:00:00Z","2.1.0"
AS-005,3,"Mobile navigation is confusing. Can't find features. Needs improvement.","MobileUser","2024-02-25T16:00:00Z","2.1.0"
AS-006,4,"Mobile dark mode would be great. Using it at night is painful.","RemoteWorker","2024-02-28T11:00:00Z","2.1.0"
AS-007,2,"Dashboard is way too slow. Takes forever to load. Unacceptable performance.","SpeedUser","2024-03-15T11:00:00Z","2.1.0"
AS-008,2,"Performance issues. Dashboard too slow with large datasets. This is terrible.","PowerUser","2024-03-28T13:00:00Z","2.1.0"
AS-009,1,"Performance is deal breaker. Lost to CompetitorY. Unacceptable.","EnterpriseBuyer","2024-03-30T15:00:00Z","2.1.0"
AS-010,4,"Would love Slack integration. That would be perfect for notifications.","SlackFan","2024-04-18T10:00:00Z","2.2.0"
AS-011,4,"Slack notifications would be great. Please add this feature.","TeamLead","2024-05-02T15:00:00Z","2.2.0"
AS-012,5,"Slack integration would save us hours. This is important.","ProductManager","2024-05-08T10:00:00Z","2.2.0"
AS-013,3,"Onboarding is too complicated. Took hours to figure out. Needs simplification.","NewUser","2024-05-15T08:00:00Z","2.2.0"
AS-014,3,"Onboarding confusing. New users struggle. Make it more intuitive.","StrugglingUser","2024-05-28T12:00:00Z","2.2.0"
AS-015,2,"Onboarding took 4 hours. Almost gave up. Too complex.","FrustratedNewUser","2024-06-02T14:00:00Z","2.2.0"
AS-016,2,"API docs are outdated. Can't build integrations. Documentation is wrong.","Developer","2024-06-12T09:00:00Z","2.2.0"
AS-017,3,"API documentation needs update. Docs don't match reality. Please fix.","DevUser","2024-06-25T14:00:00Z","2.2.0"
AS-018,1,"API docs are completely wrong. Lost deal to CompetitorZ. Blocking us.","EnterpriseDev","2024-06-28T10:00:00Z","2.2.0"
AS-019,4,"UI is a bit cluttered but functional. Could be more intuitive.","DesignUser","2025-07-18T11:00:00Z","2.3.0"
AS-020,5,"Love the app! Great features. Keep up the good work!","HappyUser","2025-07-30T16:00:00Z","2.3.0"
AS-019A,2,"Export still broken in July. This is urgent for Q3.","ExportUser","2025-07-05T09:00:00Z","2.3.0"
AS-019B,3,"Performance degraded in July. Dashboard too slow.","PerformanceUser","2025-07-28T14:00:00Z","2.3.0"
AS-019C,2,"AI features needed in July. CompetitorX has this.","AIUser2","2025-07-12T11:00:00Z","2.3.0"
AS-019D,3,"Analytics improvements needed. CompetitorY is better.","AnalyticsUser2","2025-07-18T14:00:00Z","2.3.0"
AS-021,2,"Mobile app crashes on iOS 17. This is blocking our team. Please fix.","iOSUser","2025-08-18T10:30:00Z","2.3.0"
AS-022,1,"iOS app completely broken. Can't use it at all.","iOSTeamLead","2025-08-25T11:00:00Z","2.3.0"
AS-021A,3,"AI features needed in August. CompetitorX has this.","AIUser","2025-08-10T11:00:00Z","2.3.0"
AS-021B,4,"Integration requests in August. Need more options.","IntegrationUser","2025-08-28T10:00:00Z","2.3.0"
AS-023,2,"AI automation missing. CompetitorX has this. We're considering switching.","AIFan","2025-09-05T14:00:00Z","2.3.0"
AS-024,1,"AI features are critical. CompetitorX has this. We're switching.","EnterpriseAI","2025-09-08T09:00:00Z","2.3.0"
AS-025,3,"Advanced analytics needed. CompetitorY has better reporting.","AnalyticsUser","2025-09-22T09:00:00Z","2.3.0"
AS-026,2,"Analytics are too basic. CompetitorY has much better. This is blocking.","EnterpriseAnalytics","2025-09-25T11:00:00Z","2.3.0"
AS-026A,3,"Security features needed in Q3. SOC 2 compliance critical.","SecurityUser","2025-09-15T09:00:00Z","2.3.0"
AS-026B,2,"AI automation is deal breaker. CompetitorX has this.","AIUser3","2025-09-12T09:00:00Z","2.3.0"
AS-026C,2,"Advanced analytics critical. CompetitorY has better reporting.","AnalyticsUser3","2025-09-18T10:00:00Z","2.3.0"
AS-026D,3,"Reporting improvements needed. CompetitorZ is better.","ReportingUser","2025-09-25T15:00:00Z","2.3.0"
AS-027,4,"Multi-language support would help. International team needs this.","GlobalUser","2025-10-25T11:00:00Z","2.4.0"
AS-028,4,"Localization would be great for our global team.","InternationalPM","2025-10-28T13:00:00Z","2.4.0"
AS-029,3,"Real-time collaboration needed. Multiple users should work together.","TeamUser","2025-11-12T13:00:00Z","2.4.0"
AS-030,2,"Collaboration is deal breaker. CompetitorZ has this. We're evaluating.","EnterpriseTeam","2025-11-15T15:00:00Z","2.4.0"
AS-031,3,"Custom workflows would be great. Our processes are unique.","WorkflowUser","2025-11-28T10:00:00Z","2.4.0"
AS-032,2,"Data backup concerns. Lost data last month. Need better backup.","BackupUser","2025-12-18T15:00:00Z","2.4.0"
AS-033,1,"Data backup is unreliable. Lost critical data. Major concern.","EnterpriseBackup","2025-12-20T10:00:00Z","2.4.0"
AS-034,1,"SSO missing. This is critical. CompetitorX has SSO. Deal breaker.","EnterpriseUser","2025-12-30T09:00:00Z","2.4.0"
AS-035,1,"SSO is mandatory. Lost deal to CompetitorX. Deal breaker.","EnterpriseBuyer2","2025-12-30T16:00:00Z","2.4.0"
