conversation_id,message,user_id,created_at,channel,priority
IC-001,"The export feature keeps crashing. This is really frustrating. We need this fixed ASAP.","user_101","2024-01-18T10:00:00Z","chat","high"
IC-002,"Export crashes every time. This is blocking our work. Very urgent.","user_102","2024-01-25T14:00:00Z","chat","critical"
IC-003,"Can you add dark mode to the mobile app? It's too bright at night.","user_103","2024-02-10T14:30:00Z","chat","medium"
IC-004,"Mobile app needs dark mode. Using it at night is painful.","user_104","2024-02-20T09:00:00Z","chat","medium"
IC-005,"Dashboard is way too slow. Takes forever to load. This is unacceptable.","user_105","2024-03-15T09:20:00Z","chat","high"
IC-006,"Performance is terrible. Dashboard takes 20+ seconds to load.","user_106","2024-03-22T11:00:00Z","chat","high"
IC-007,"Would love Slack integration. That would be perfect for our team.","user_107","2024-04-20T11:00:00Z","chat","medium"
IC-008,"Slack integration would save us hours. Please prioritize this.","user_108","2024-04-28T15:00:00Z","chat","medium"
IC-009,"Onboarding is too complicated. New team members are struggling.","user_109","2024-05-12T15:30:00Z","chat","medium"
IC-010,"Onboarding took 3 hours. Almost gave up. Too complex.","user_110","2024-05-25T10:00:00Z","chat","high"
IC-011,"API docs are outdated. Can't build integrations properly.","user_111","2024-06-08T10:00:00Z","chat","high"
IC-012,"API documentation is wrong. Blocking our integrations.","user_112","2024-06-20T14:00:00Z","chat","high"
IC-013,"The UI is cluttered. Hard to find what I need.","user_113","2025-07-22T13:00:00Z","chat","low"
IC-013A,"Export issues in July","Export feature still broken in July. This is urgent.","user_126","2025-07-05T10:00:00Z","chat","critical"
IC-013B,"Performance concerns July","Performance is getting worse. Dashboard too slow.","user_127","2025-07-28T14:00:00Z","chat","high"
IC-013C,"AI features needed July","AI automation is critical. CompetitorX has this.","user_130","2025-07-12T11:00:00Z","chat","high"
IC-013D,"Analytics improvements July","Analytics need major improvements. CompetitorY is better.","user_131","2025-07-18T14:00:00Z","chat","medium"
IC-014,"Mobile app crashes on iOS 17. This is blocking our team.","user_114","2025-08-15T09:00:00Z","chat","high"
IC-015,"iOS app completely broken. Can't use it at all.","user_115","2025-08-25T11:00:00Z","chat","critical"
IC-015A,"AI features needed August","AI automation is critical for our workflow. CompetitorX has this.","user_128","2025-08-10T11:00:00Z","chat","high"
IC-015B,"Mobile iOS issues August","Mobile app crashes on iOS 17 continue. This is blocking us.","user_132","2025-08-08T09:00:00Z","chat","critical"
IC-015C,"Security features August","Need enhanced security. SOC 2 compliance important.","user_133","2025-08-22T11:00:00Z","chat","high"
IC-015D,"Integration needs August","Need more integrations. CompetitorY has better options.","user_134","2025-08-18T10:00:00Z","chat","medium"
IC-016,"Need AI automation features. CompetitorX has this and we're evaluating them.","user_116","2025-09-05T14:00:00Z","chat","high"
IC-017,"AI features are critical. CompetitorX has this. We're considering switching.","user_117","2025-09-15T10:00:00Z","chat","critical"
IC-017A,"Analytics improvements September","Analytics need major improvements. CompetitorY is better.","user_129","2025-09-20T09:00:00Z","chat","high"
IC-017B,"AI features critical September","AI automation is deal breaker. CompetitorX has this.","user_135","2025-09-12T09:00:00Z","chat","critical"
IC-017C,"Advanced analytics September","Advanced analytics needed. CompetitorY has better reporting.","user_136","2025-09-18T10:00:00Z","chat","high"
IC-017D,"Reporting improvements September","Reporting features need improvement. CompetitorZ is better.","user_137","2025-09-25T15:00:00Z","chat","medium"
IC-018,"Advanced analytics would be great. CompetitorY has better reporting.","user_118","2025-10-18T11:30:00Z","chat","medium"
IC-019,"Analytics are too basic. Need better reporting like CompetitorY.","user_119","2025-10-25T09:00:00Z","chat","high"
IC-020,"Multi-language support is needed for our international team.","user_120","2025-11-12T10:00:00Z","chat","medium"
IC-021,"Real-time collaboration would be amazing. Multiple users need to work together.","user_121","2025-12-05T15:00:00Z","chat","high"
IC-022,"Collaboration is a deal breaker. Need real-time editing.","user_122","2025-12-12T11:00:00Z","chat","critical"
IC-023,"Custom workflows would help us a lot. Our processes are unique.","user_123","2025-12-20T09:30:00Z","chat","medium"
IC-024,"Data backup concerns. Need better backup options.","user_124","2025-12-28T13:00:00Z","chat","high"
IC-025,"SSO integration is critical for us. Without it, we can't proceed.","user_125","2025-12-30T11:00:00Z","chat","critical"
